========================================================================
NUMERIC-KEYSTREAM skip-tolerant sweep  (Campaign XVIII / numeric_skip.py)
========================================================================
Pages: [0]..[54]  (55 pages)  |  max_len=277  |  ks_len=1176
Signs: {-1,+1}  |  Atbash: {0,1}  |  Offsets: [0, 1, 2, 3, 4]
Screen: len=50 beam_w=60 thr=-6.5  |  Confirm: beam_w=200 thr=-5.5
Null-max=-6.82  |  English solve ~-4.0 to -4.35  |  Threshold=-5.5

Building keystream catalog (ks_len=1176, fib=YES) ...
  874 keystreams built in 0.3s

    #  name                             best_screen   elapsed
------------------------------------------------------------
  627  fib_21_3                              -5.712     700.6s  <== NOTABLE
  631  fib_21_7                              -5.782     705.2s  <== NOTABLE
  633  fib_21_9                              -5.571     707.3s  <== NOTABLE
  644  fib_21_20                             -5.866     719.2s  <== NOTABLE
  650  fib_21_26                             -5.906     727.1s  <== NOTABLE
  651  fib_21_27                             -5.964     728.7s  <== NOTABLE
  654  fib_22_1                              -5.782     732.3s  <== NOTABLE
  663  fib_22_10                             -5.983     742.9s  <== NOTABLE
  665  fib_22_12                             -5.829     745.6s  <== NOTABLE
  673  fib_22_20                             -5.934     753.9s  <== NOTABLE
  678  fib_22_25                             -5.995     760.8s  <== NOTABLE
  681  fib_22_28                             -5.866     764.4s  <== NOTABLE
  689  fib_23_7                              -5.939     774.6s  <== NOTABLE
  690  fib_23_8                              -5.964     776.0s  <== NOTABLE
  695  fib_23_13                             -5.997     781.8s  <== NOTABLE
  696  fib_23_14                             -5.782     783.2s  <== NOTABLE
  698  fib_23_16                             -5.995     786.4s  <== NOTABLE
  700  fib_23_18                             -5.957     788.0s  <== NOTABLE
  701  fib_23_19                             -5.922     789.4s  <== NOTABLE
  707  fib_23_25                             -5.986     797.2s  <== NOTABLE
  723  fib_24_12                             -5.829     816.3s  <== NOTABLE
  726  fib_24_15                             -5.924     821.2s  <== NOTABLE
  730  fib_24_19                             -5.961     826.7s  <== NOTABLE
  731  fib_24_20                             -5.964     827.9s  <== NOTABLE
  734  fib_24_23                             -5.957     831.8s  <== NOTABLE
  735  fib_24_24                             -5.961     833.7s  <== NOTABLE
  738  fib_24_27                             -5.712     837.9s  <== NOTABLE
  749  fib_25_9                              -5.924     855.5s  <== NOTABLE
  750  fib_25_10                             -5.906     856.5s  <== NOTABLE
  752  fib_25_12                             -5.571     858.7s  <== NOTABLE
  759  fib_25_19                             -5.986     870.0s  <== NOTABLE
  763  fib_25_23                             -5.922     876.0s  <== NOTABLE
  768  fib_25_28                             -5.957     883.4s  <== NOTABLE
  773  fib_26_4                              -5.957     890.9s  <== NOTABLE
  774  fib_26_5                              -5.712     892.5s  <== NOTABLE
  776  fib_26_7                              -5.995     895.5s  <== NOTABLE
